거래처명,사업장,전기일,전표헤더텍스트,금액,투자유형_확정,확신도
한불환경,5,2021-07-21,대기오염 저감설비 보강 (3호기),297676453,운영안정성 제고,0.42
에코텍,2,2022-11-22,대기오염 저감설비 보강 (9호기),85086089,운영안정성 제고,0.42
에코텍,4,2017-10-07,대기오염 저감설비 보강 (2호기),163400110,운영안정성 제고,0.42
blueEnviro,3,2017-05-13,대기오염 저감설비 보강 (6호기),124071773,운영안정성 제고,0.42
안랩,4,2022-06-10,발전소 방호설비 보강 (3호기),58841557,운영안정성 제고,0.42
blueEnviro,1,2018-04-05,대기오염 저감설비 보강 (5호기),120301519,운영안정성 제고,0.42
케이티텔레캅,4,2020-01-05,발전소 방호설비 보강 (3호기),76481885,운영안정성 제고,0.42
에스원,1,2020-05-18,발전소 방호설비 보강 (4호기),31257157,운영안정성 제고,0.42
안랩,5,2018-10-27,발전소 방호설비 보강 (6호기),69401199,운영안정성 제고,0.42
안랩,5,2019-01-16,발전소 방호설비 보강 (7호기),55150390,운영안정성 제고,0.42
케이티텔레캅,3,2020-08-11,발전소 방호설비 보강 (9호기),60628276,운영안정성 제고,0.42
안랩,5,2024-09-01,발전소 방호설비 보강 (8호기),48352498,운영안정성 제고,0.42
한불환경,1,2022-01-15,대기오염 저감설비 보강 (1호기),177096807,운영안정성 제고,0.42
한불환경,4,2021-03-22,대기오염 저감설비 보강 (5호기),160475664,운영안정성 제고,0.42
한불환경,4,2025-02-19,대기오염 저감설비 보강 (5호기),137252872,운영안정성 제고,0.42
에코텍,4,2021-09-20,대기오염 저감설비 보강 (5호기),181793305,운영안정성 제고,0.42
안랩,1,2020-11-03,발전소 방호설비 보강 (6호기),39711402,운영안정성 제고,0.42
에코텍,4,2019-12-15,대기오염 저감설비 보강 (6호기),154438418,운영안정성 제고,0.42
blueEnviro,3,2022-10-17,대기오염 저감설비 보강 (2호기),225090056,운영안정성 제고,0.42
에스원,5,2020-11-22,발전소 방호설비 보강 (2호기),41510328,운영안정성 제고,0.42
에스원,3,2019-02-16,발전소 방호설비 보강 (7호기),75998319,운영안정성 제고,0.42
blueEnviro,4,2023-07-09,대기오염 저감설비 보강 (6호기),225047937,운영안정성 제고,0.42
에코텍,1,2018-07-27,대기오염 저감설비 보강 (6호기),63396284,운영안정성 제고,0.42
에코텍,1,2016-04-01,대기오염 저감설비 보강 (4호기),217958191,운영안정성 제고,0.42
케이티텔레캅,5,2023-09-08,발전소 방호설비 보강 (8호기),41407343,운영안정성 제고,0.42
에스원,2,2024-01-10,발전소 방호설비 보강 (6호기),16530784,운영안정성 제고,0.42
안랩,5,2022-03-15,발전소 방호설비 보강 (6호기),52431444,운영안정성 제고,0.42
한국생산성본부,3,2020-05-25,직무 워크숍 운영 (1호기),38334803,교육강화,0.8
포스코ICT,2,2020-01-11,스마트팩토리 구축 (4호기),270533202,AX/DX,0.8
지멘스에너지,3,2023-12-16,가스터빈 LTSA 정산 (3호기),1114799481,LTSA,0.8
대성설비,4,2019-08-03,운전안정화 개선공사 (9호기),172552144,운영안정성 제고,0.8
안전보건공단,1,2020-06-21,직무 워크숍 운영 (9호기),30501998,교육강화,0.8
동아전기,1,2020-09-09,노후 변압기 개체 (6호기),522902563,노후설비개체,0.8
안전보건공단,2,2016-03-23,직무 워크숍 운영 (5호기),5436124,교육강화,0.8
지멘스에너지,5,2019-09-12,OEM 터빈정비계약 (1호기),501415220,LTSA,0.8
대명정비,1,2016-04-07,정기보수 용역 (6호기),138663364,정기사업,0.8
우진기전,1,2023-01-28,설비 신뢰도 향상 공사 (5호기),135824525,운영안정성 제고,0.8
안랩,2,2025-02-11,사이버보안 시스템 구축 (5호기),35878707,보안강화,0.8
케이티텔레캅,1,2018-07-06,사이버보안 시스템 구축 (8호기),30534124,보안강화,0.8
한전KPS,3,2021-03-22,운전안정화 개선공사 (9호기),97106638,운영안정성 제고,0.8
blueEnviro,2,2020-07-06,집진기 교체공사 (6호기),260650366,환경강화,0.8
포스코ICT,1,2025-11-24,스마트팩토리 구축 (3호기),331445091,AX/DX,0.8
동아전기,3,2020-02-15,노후 변압기 개체 (6호기),531769059,노후설비개체,0.8
대명정비,4,2024-03-27,정기보수 용역 (9호기),264959964,정기사업,0.8
GE코리아,1,2018-07-21,OEM 터빈정비계약 (2호기),788999385,LTSA,0.8
안전보건공단,5,2022-03-07,정비인력 기술교육 (6호기),25727651,교육강화,0.8
사내교육원,1,2021-07-15,정비인력 기술교육 (9호기),19429953,교육강화,0.8
안전보건공단,4,2022-02-11,직무 워크숍 운영 (1호기),27457937,교육강화,0.8
한전KPS,3,2024-09-08,운전안정화 개선공사 (3호기),137037318,운영안정성 제고,0.8
두산에너빌리티,3,2020-08-18,OEM 터빈정비계약 (8호기),459553112,LTSA,0.8
케이티텔레캅,5,2024-06-21,사이버보안 시스템 구축 (2호기),26821075,보안강화,0.8
포스코ICT,2,2016-12-21,AI 예지보전 시스템 도입 (1호기),156750149,AX/DX,0.8
한전KPS,5,2018-09-14,운전안정화 개선공사 (1호기),133201800,운영안정성 제고,0.8
우진기전,5,2024-03-19,설비 신뢰도 향상 공사 (9호기),212063753,운영안정성 제고,0.8
한일정공,1,2017-03-12,정기점검 정비공사 (9호기),222378389,정기사업,0.8
한전KPS,5,2017-07-22,설비 신뢰도 향상 공사 (7호기),218490634,운영안정성 제고,0.8
동아전기,5,2023-06-22,노후 변압기 개체 (2호기),142986670,노후설비개체,0.8
케이티텔레캅,5,2025-09-11,사이버보안 시스템 구축 (3호기),71694994,보안강화,0.8
지멘스에너지,2,2024-04-11,OEM 터빈정비계약 (8호기),798690974,LTSA,0.8
한전KPS,2,2017-07-04,정기보수 용역 (2호기),206274130,정기사업,0.8
