거래처명,사업장,전기일,전표헤더텍스트,금액
사내교육원,4,2018-08-01,직무 워크숍 운영 (1호기),30526938
사내교육원,1,2021-07-15,정비인력 기술교육 (9호기),19429953
안전보건공단,4,2022-02-11,직무 워크숍 운영 (1호기),27457937
한전KPS,3,2024-09-08,운전안정화 개선공사 (3호기),137037318
두산에너빌리티,3,2020-08-18,OEM 터빈정비계약 (8호기),459553112
에스원,2,2024-01-10,발전소 방호설비 보강 (6호기),16530784
케이티텔레캅,5,2024-06-21,사이버보안 시스템 구축 (2호기),26821075
포스코ICT,2,2016-12-21,AI 예지보전 시스템 도입 (1호기),156750149
한전KPS,5,2018-09-14,운전안정화 개선공사 (1호기),133201800
우진기전,5,2024-03-19,설비 신뢰도 향상 공사 (9호기),212063753
한일정공,1,2017-03-12,정기점검 정비공사 (9호기),222378389
한전KPS,5,2017-07-22,설비 신뢰도 향상 공사 (7호기),218490634
동아전기,5,2023-06-22,노후 변압기 개체 (2호기),142986670
케이티텔레캅,5,2025-09-11,사이버보안 시스템 구축 (3호기),71694994
동아전기,5,2023-12-25,노후 배관 교체공사 (3호기),197090936
지멘스에너지,2,2024-04-11,OEM 터빈정비계약 (8호기),798690974
안전보건공단,5,2020-01-27,직무 워크숍 운영 (5호기),24812600
한전KPS,5,2016-01-03,정기보수 용역 (7호기),97063198
안랩,3,2020-01-02,사이버보안 시스템 구축 (2호기),28760553
한전KPS,3,2023-09-05,정기점검 정비공사 (5호기),321226417
한전KPS,1,2018-10-05,정기점검 정비공사 (4호기),90941438
동아전기,3,2020-02-15,노후 변압기 개체 (6호기),531769059
한강배관,1,2023-04-02,노후 변압기 개체 (1호기),257540783
한전KPS,1,2016-02-17,정기점검 정비공사 (1호기),257397447
한전KPS,2,2019-08-10,계획예방정비(TA) (8호기),398799956
안랩,1,2025-09-11,CCTV 및 출입통제 개선 (9호기),37828932
한불환경,5,2021-07-21,대기오염 저감설비 보강 (3호기),297676453
한일정공,5,2022-12-28,계획예방정비(TA) (5호기),215289207
한전KPS,5,2018-12-07,계획예방정비(TA) (7호기),292952228
에코텍,2,2022-11-22,대기오염 저감설비 보강 (9호기),85086089
사내교육원,5,2023-10-05,안전보건 역량강화 교육 (3호기),18401487
한일정공,5,2022-12-27,정기점검 정비공사 (6호기),268495233
에스원,1,2023-11-17,사이버보안 시스템 구축 (9호기),12205915
사내교육원,5,2020-02-20,정비인력 기술교육 (3호기),16748705
우진기전,1,2023-02-23,예비설비 보강 (6호기),188858397
한일정공,5,2023-06-18,계획예방정비(TA) (3호기),103802540
지멘스에너지,5,2019-06-06,OEM 터빈정비계약 (8호기),772949775
안전보건공단,1,2020-06-22,직무 워크숍 운영 (2호기),35520173
사내교육원,2,2023-02-17,직무 워크숍 운영 (2호기),29199708
사내교육원,2,2025-04-01,정비인력 기술교육 (1호기),12374963
